"Save Link","Guardar enlace"
"The link has been deleted.","El vínculo se ha eliminado."
"Unable to find a link to delete.","No se puede encontrar un vínculo para eliminar."
"Edit Link","Editar enlace"
"New Link","Nuevo enlace"
"Manage Links","Administrar enlaces"
"HTML Sitemap","Mapa del sitio HTML"
"Link has been saved.","Se ha guardado el enlace."
"Something went wrong while saving the link.","Algo salió mal mientras guardaba el enlace."
"2 Columns","2 Columnas"
"4 Columns","4 Columnas"
"Link was not registered","Link no estaba registrado"
"Sitemap Page Title","Título de la página del mapa del sitio"
"Sitemap Meta Description","Descripción de la meta del mapa del sitio"
"Sitemap Meta Keywords","Palabras clave de las meta saques de sitemap"
"Sitemap Content Settings","Configuración del contenido del mapa del sitio"
"Show Stores on Sitemap","Mostrar tiendas en el mapa del sitio"
"Show Categories on Sitemap","Mostrar categorías en el mapa del sitio"
"Max Categories Depth","Profundidad de categorías máximas"
"Use 0 for all levels","Use 0 para todos los niveles"
"Show Products on Sitemap","Mostrar productos en el mapa del sitio"
"Show Out of Stock Products","Mostrar productos fuera de stock"
"Sort Products and Categories By","Ordenar productos y categorías por"
"Number of Columns","Número de columnas"
"Group Links by First Letter","Enlaces de grupo por primera carta"
"Show CMS Pages on Sitemap","Mostrar páginas CMS en el mapa del sitio"
"Exclude CMS Pages","Excluir páginas CMS"
"Show Custom Links on Sitemap","Mostrar vínculos personalizados en el mapa del sitio"
"To add custom links go Swissup > HTML Sitemap Links ","Para agregar enlaces personalizados, vaya Swissup > Enlaces de mapa del sitio HTML "
"Are you sure you want to enable selected items?","¿Está seguro de que desea habilitar los elementos seleccionados?"
"Are you sure you want to disable selected items?","¿Está seguro de que desea deshabilitar los elementos seleccionados?"
"Link Information","Información de enlace"
"CMS Pages","Páginas CMS"
"Other Pages","Otras páginas"
