"Save Link","Enregistrer le lien"
"The link has been deleted.","Le lien a été supprimé."
"Unable to find a link to delete.","Impossible de trouver un lien à supprimer."
"Edit Link","Modifier le lien"
"New Link","Nouveau lien"
"Manage Links","Gérer les liens"
"HTML Sitemap","HTML Sitemap"
"Link has been saved.","Link a été enregistré."
"Something went wrong while saving the link.","Quelque chose s’est mal passé en sauvant le lien."
"2 Columns","2 Colonnes"
"4 Columns","4 Colonnes"
"Link was not registered","Link n’a pas été enregistré"
"Sitemap Page Title","Titre de page De page De page de site"
"Sitemap Meta Description","Sitemap Meta Description"
"Sitemap Meta Keywords","Mots-clés De Sitemap Meta"
"Sitemap Content Settings","Paramètres de contenu De la carte de site"
"Show Stores on Sitemap","Afficher les magasins sur Sitemap"
"Show Categories on Sitemap","Afficher les catégories sur Sitemap"
"Max Categories Depth","Max Catégories Profondeur"
"Use 0 for all levels","Utiliser 0 pour tous les niveaux"
"Show Products on Sitemap","Afficher les produits sur Sitemap"
"Show Out of Stock Products","Afficher les produits en rupture de stock"
"Sort Products and Categories By","Trier les produits et les catégories par"
"Number of Columns","Nombre de colonnes"
"Group Links by First Letter","Liens de groupe par première lettre"
"Show CMS Pages on Sitemap","Afficher les pages CMS sur Sitemap"
"Exclude CMS Pages","Exclure les pages CMS"
"Show Custom Links on Sitemap","Afficher les liens personnalisés sur Sitemap"
"To add custom links go Swissup > HTML Sitemap Links ","Pour ajouter des liens personnalisés, rendez-vous swissup et HTML Sitemap Links "
"Are you sure you want to enable selected items?","Etes-vous sûr de vouloir activer certains éléments ?"
"Are you sure you want to disable selected items?","Etes-vous sûr de vouloir désactiver certains éléments?"
"Link Information","Informations de lien"
"CMS Pages","CMS Pages"
"Other Pages","Autres pages"
