"Save Link","Salva collegamento"
"The link has been deleted.","Il collegamento è stato eliminato."
"Unable to find a link to delete.","Impossibile trovare un collegamento da eliminare."
"Edit Link","Modifica collegamento"
"New Link","Nuovo collegamento"
"Manage Links","Gestisci collegamenti"
"HTML Sitemap","Mappa del sito HTML"
"Link has been saved.","Il collegamento è stato salvato."
"Something went wrong while saving the link.","Si è verificato un problema durante il salvataggio del collegamento."
"2 Columns","2 Colonne"
"4 Columns","4 Colonne"
"Link was not registered","Link non registrato"
"Sitemap Page Title","Titolo pagina Sitemap"
"Sitemap Meta Description","Sitemap Meta Descrizione"
"Sitemap Meta Keywords","Meta parole chiave della mappa del sito"
"Sitemap Content Settings","Impostazioni del contenuto della mappa del sito"
"Show Stores on Sitemap","Mostra negozi sulla Sitemap"
"Show Categories on Sitemap","Mostra categorie nella mappa del sito"
"Max Categories Depth","Profondità massima categorie"
"Use 0 for all levels","Utilizzare 0 per tutti i livelli"
"Show Products on Sitemap","Mostra prodotti sulla Sitemap"
"Show Out of Stock Products","Mostra prodotti esauriti"
"Sort Products and Categories By","Ordina prodotti e categorie per"
"Number of Columns","Numero di colonne"
"Group Links by First Letter","Collegamenti di gruppo per prima lettera"
"Show CMS Pages on Sitemap","Mostra pagine CMS sulla Sitemap"
"Exclude CMS Pages","Escludi pagine CMS"
"Show Custom Links on Sitemap","Mostra collegamenti personalizzati nella Sitemap"
"To add custom links go Swissup > HTML Sitemap Links ","Per aggiungere collegamenti personalizzati vai a Swissup > HTML Sitemap Links "
"Are you sure you want to enable selected items?","Sei sicuro di voler abilitare gli elementi selezionati?"
"Are you sure you want to disable selected items?","Sei sicuro di voler disabilitare gli elementi selezionati?"
"Link Information","Informazioni sul collegamento"
"CMS Pages","Pagine CMS"
"Other Pages","Altre pagine"
