"Save Link","링크 저장"
"The link has been deleted.","링크가 삭제되었습니다."
"Unable to find a link to delete.","삭제할 링크를 찾을 수 없습니다."
"Edit Link","링크 편집"
"New Link","새 링크"
"Manage Links","링크 관리"
"HTML Sitemap","HTML 사이트맵"
"Link has been saved.","링크가 저장되었습니다."
"Something went wrong while saving the link.","링크를 저장하는 동안 문제가 생겼습니다."
"2 Columns",2열
"4 Columns",4열
"Link was not registered","링크가 등록되지 않았습니다."
"Sitemap Page Title","사이트맵 페이지 제목"
"Sitemap Meta Description","사이트맵 메타 설명"
"Sitemap Meta Keywords","사이트맵 메타 키워드"
"Sitemap Content Settings","사이트맵 콘텐츠 설정"
"Show Stores on Sitemap","사이트맵에 매장 표시"
"Show Categories on Sitemap","사이트맵에 카테고리 표시"
"Max Categories Depth","최대 범주 깊이"
"Use 0 for all levels","모든 레벨에 0 사용"
"Show Products on Sitemap","사이트맵에 제품 표시"
"Show Out of Stock Products","품절 제품 표시"
"Sort Products and Categories By","제품 및 범주별로 정렬"
"Number of Columns","열 수"
"Group Links by First Letter","첫 글자로 그룹 링크"
"Show CMS Pages on Sitemap","사이트맵에 CMS 페이지 표시"
"Exclude CMS Pages","CMS 페이지 제외"
"Show Custom Links on Sitemap","사이트맵에 사용자 지정 링크 표시"
"To add custom links go Swissup > HTML Sitemap Links ","사용자 지정 링크를 추가하려면 Swissup > HTML 사이트맵 링크를 이동합니다. "
"Are you sure you want to enable selected items?","선택한 항목을 사용하도록 설정하시겠습니까?"
"Are you sure you want to disable selected items?","선택한 항목을 사용하지 않도록 설정하시겠습니까?"
"Link Information","링크 정보"
"CMS Pages","CMS 페이지"
"Other Pages","기타 페이지"
