"Save Link","Lagre kobling"
"The link has been deleted.","Koblingen er slettet."
"Unable to find a link to delete.","Finner ikke en kobling som skal slettes."
"Edit Link","Rediger kobling"
"New Link","Ny kobling"
"Manage Links","Behandle koblinger"
"HTML Sitemap",HTML-områdekart
"Link has been saved.","Koblingen er lagret."
"Something went wrong while saving the link.","Noe gikk galt mens du lagrer linken."
"2 Columns","2 Kolonner"
"4 Columns","4 Kolonner"
"Link was not registered","Link ble ikke registrert"
"Sitemap Page Title","Tittel på sideside for områdekart"
"Sitemap Meta Description","Områdekart Meta Beskrivelse"
"Sitemap Meta Keywords","Nøkkelord for sitemap-meta"
"Sitemap Content Settings","Innstillinger for nettstedskartinnhold"
"Show Stores on Sitemap","Vis butikker på områdekart"
"Show Categories on Sitemap","Vis kategorier på områdekart"
"Max Categories Depth","Maks kategorier dybde"
"Use 0 for all levels","Bruk 0 for alle nivåer"
"Show Products on Sitemap","Vis produkter på områdekart"
"Show Out of Stock Products","Vis ut av lagerprodukter"
"Sort Products and Categories By","Sorter produkter og kategorier etter"
"Number of Columns","Antall kolonner"
"Group Links by First Letter","Gruppekoblinger etter første bokstav"
"Show CMS Pages on Sitemap","Vis CMS-sider på områdekart"
"Exclude CMS Pages","Ekskluder CMS-sider"
"Show Custom Links on Sitemap","Vis egendefinerte koblinger på områdekart"
"To add custom links go Swissup > HTML Sitemap Links ","Hvis du vil legge til egendefinerte koblinger, går du til Swissup - HTML Sitemap-koblinger "
"Are you sure you want to enable selected items?","Er du sikker på at du vil aktivere valgte elementer?"
"Are you sure you want to disable selected items?","Er du sikker på at du vil deaktivere valgte elementer?"
"Link Information","Link Informasjon"
"CMS Pages",CMS-sider
"Other Pages","Andre sider"
