"Save Link","Koppeling opslaan"
"The link has been deleted.","De link is verwijderd."
"Unable to find a link to delete.","Kan geen koppeling vinden om te verwijderen."
"Edit Link","Koppeling bewerken"
"New Link","Nieuwe koppeling"
"Manage Links","Koppelingen beheren"
"HTML Sitemap",HTML-sitemap
"Link has been saved.","Link is opgeslagen."
"Something went wrong while saving the link.","Er ging iets mis tijdens het opslaan van de link."
"2 Columns","2 Kolommen"
"4 Columns","4 Kolommen"
"Link was not registered","Koppeling is niet geregistreerd"
"Sitemap Page Title",Sitemappaginatitel
"Sitemap Meta Description","Beschrijving sitemap Meta"
"Sitemap Meta Keywords","Trefwoorden sitemap Meta"
"Sitemap Content Settings",Sitemap-inhoudsinstellingen
"Show Stores on Sitemap","Winkels weergeven op Sitemap"
"Show Categories on Sitemap","Categorieën weergeven op Sitemap"
"Max Categories Depth","Diepte voor maximale categorieën"
"Use 0 for all levels","Gebruik 0 voor alle niveaus"
"Show Products on Sitemap","Producten weergeven op Sitemap"
"Show Out of Stock Products","Toon producten die niet op voorraad zijn"
"Sort Products and Categories By","Producten en rubrieken sorteren op"
"Number of Columns","Aantal kolommen"
"Group Links by First Letter","Groepskoppelingen op eerste letter"
"Show CMS Pages on Sitemap","CMS-pagina's weergeven op Sitemap"
"Exclude CMS Pages","CMS-pagina's uitsluiten"
"Show Custom Links on Sitemap","Aangepaste koppelingen weergeven op Sitemap"
"To add custom links go Swissup > HTML Sitemap Links ","Aangepaste koppelingen toevoegen ga Swissup > HTML Sitemap-koppelingen "
"Are you sure you want to enable selected items?","Weet u zeker dat u geselecteerde items wilt inschakelen?"
"Are you sure you want to disable selected items?","Weet u zeker dat u geselecteerde items wilt uitschakelen?"
"Link Information",Koppelingsgegevens
"CMS Pages",CMS-pagina's
"Other Pages","Andere pagina's"
