"Save Link","Zapisz łącze"
"The link has been deleted.","Łącze zostało usunięte."
"Unable to find a link to delete.","Nie można znaleźć łącza do usunięcia."
"Edit Link","Edytuj łącze"
"New Link","Nowe łącze"
"Manage Links","Zarządzanie łączami"
"HTML Sitemap","Mapa witryny HTML"
"Link has been saved.","Łącze zostało zapisane."
"Something went wrong while saving the link.","Coś poszło nie tak podczas zapisywania linku."
"2 Columns","2 Kolumny"
"4 Columns","4 Kolumny"
"Link was not registered","Link nie został zarejestrowany"
"Sitemap Page Title","Tytuł strony mapy witryny"
"Sitemap Meta Description","Opis meta mapy witryny"
"Sitemap Meta Keywords","Słowa kluczowe meta mapy witryny"
"Sitemap Content Settings","Ustawienia zawartości mapy witryny"
"Show Stores on Sitemap","Pokaż sklepy w mapie witryny"
"Show Categories on Sitemap","Pokaż kategorie w mapie witryny"
"Max Categories Depth","Maksymalna głębokość kategorii"
"Use 0 for all levels","Użyj 0 dla wszystkich poziomów"
"Show Products on Sitemap","Pokaż produkty na mapie witryny"
"Show Out of Stock Products","Pokaż produkty niedostępne"
"Sort Products and Categories By","Sortuj produkty i kategorie według"
"Number of Columns","Liczba kolumn"
"Group Links by First Letter","Linki grupy według pierwszej litery"
"Show CMS Pages on Sitemap","Pokaż strony CMS w mapie witryny"
"Exclude CMS Pages","Wykluczanie stron CMS"
"Show Custom Links on Sitemap","Pokaż łącza niestandardowe w mapie witryny"
"To add custom links go Swissup > HTML Sitemap Links ","Aby dodać linki niestandardowe, przejdź do Swissup > Łącza do map witryny HTML "
"Are you sure you want to enable selected items?","Czy na pewno chcesz włączyć wybrane elementy?"
"Are you sure you want to disable selected items?","Czy na pewno chcesz wyłączyć wybrane elementy?"
"Link Information","Informacje o łączach"
"CMS Pages","Strony CMS"
"Other Pages","Inne strony"
