"Save Link","Salvar link"
"The link has been deleted.","O link foi excluído."
"Unable to find a link to delete.","Não é possível encontrar um link para excluir."
"Edit Link","Editar link"
"New Link","Novo Link"
"Manage Links","Gerenciar links"
"HTML Sitemap","HTML Sitemap"
"Link has been saved.","Link foi salvo."
"Something went wrong while saving the link.","Algo deu errado enquanto salvava o link."
"2 Columns","2 Colunas"
"4 Columns","4 Colunas"
"Link was not registered","Link não foi registrado"
"Sitemap Page Title","Título da página do sitemap"
"Sitemap Meta Description","Metadescrição do Sitemap"
"Sitemap Meta Keywords","Sitemap Meta Palavras-chave"
"Sitemap Content Settings","Configurações de conteúdo do Sitemap"
"Show Stores on Sitemap","Mostrar lojas no Sitemap"
"Show Categories on Sitemap","Mostrar categorias no Sitemap"
"Max Categories Depth","Profundidade das categorias máximas"
"Use 0 for all levels","Use 0 para todos os níveis"
"Show Products on Sitemap","Mostrar produtos no Sitemap"
"Show Out of Stock Products","Mostrar produtos fora de estoque"
"Sort Products and Categories By","Classificar produtos e categorias por"
"Number of Columns","Número de Colunas"
"Group Links by First Letter","Links de grupo por primeira letra"
"Show CMS Pages on Sitemap","Mostrar páginas cms no sitemap"
"Exclude CMS Pages","Excluir páginas CMS"
"Show Custom Links on Sitemap","Mostrar links personalizados no Sitemap"
"To add custom links go Swissup > HTML Sitemap Links ","Para adicionar links personalizados vá Swissup > HTML Sitesmap Links "
"Are you sure you want to enable selected items?","Tem certeza de que deseja habilitar itens selecionados?"
"Are you sure you want to disable selected items?","Tem certeza de que deseja desativar itens selecionados?"
"Link Information","Informações de link"
"CMS Pages","Páginas CMS"
"Other Pages","Outras páginas"
