"Save Link","Spara länk"
"The link has been deleted.","Länken har tagits bort."
"Unable to find a link to delete.","Det gick inte att hitta en länk att ta bort."
"Edit Link","Redigera länk"
"New Link","Ny länk"
"Manage Links","Hantera länkar"
"HTML Sitemap","Webbplatskarta för HTML"
"Link has been saved.","Länken har sparats."
"Something went wrong while saving the link.","Något gick fel när du sparar länken."
"2 Columns","2 kolumner"
"4 Columns","4 kolumner"
"Link was not registered","Länken registrerades inte"
"Sitemap Page Title","Rubrik för sidrubrik för webbplatskarta"
"Sitemap Meta Description","Metabeskrivning för webbplatskarta"
"Sitemap Meta Keywords","Nyckelord för meta i webbplatskarta"
"Sitemap Content Settings","Inställningar för innehåll i webbplatskarta"
"Show Stores on Sitemap","Visa butiker på webbplatskarta"
"Show Categories on Sitemap","Visa kategorier på webbplatskarta"
"Max Categories Depth","Maximalt kategoridjup"
"Use 0 for all levels","Använd 0 för alla nivåer"
"Show Products on Sitemap","Visa produkter på webbplatskarta"
"Show Out of Stock Products","Visa produkter i lager"
"Sort Products and Categories By","Sortera produkter och kategorier efter"
"Number of Columns","Antal kolumner"
"Group Links by First Letter","Gruppera länkar efter första bokstaven"
"Show CMS Pages on Sitemap","Visa CMS-sidor på webbplatskarta"
"Exclude CMS Pages","Utesluta CMS-sidor"
"Show Custom Links on Sitemap","Visa anpassade länkar på webbplatskarta"
"To add custom links go Swissup > HTML Sitemap Links ","Om du vill lägga till anpassade länkar går Swissup > HTML-webbplatskarta länkar "
"Are you sure you want to enable selected items?","Vill du aktivera markerade objekt?"
"Are you sure you want to disable selected items?","Vill du inaktivera markerade objekt?"
"Link Information",Länkinformation
"CMS Pages",CMS-sidor
"Other Pages","Andra sidor"
