"Save Link",保存链接
"The link has been deleted.",链接已被删除。
"Unable to find a link to delete.",找不到要删除的链接。
"Edit Link",编辑链接
"New Link",新链接
"Manage Links",管理链接
"HTML Sitemap","HTML 站点地图"
"Link has been saved.",链接已保存。
"Something went wrong while saving the link.",保存链接时出现问题。
"2 Columns","2 列"
"4 Columns","4 列"
"Link was not registered",链接未注册
"Sitemap Page Title",站点地图页面标题
"Sitemap Meta Description",站点地图元描述
"Sitemap Meta Keywords",站点地图元关键字
"Sitemap Content Settings",站点地图内容设置
"Show Stores on Sitemap",在站点图上显示商店
"Show Categories on Sitemap",在站点图上显示类别
"Max Categories Depth",最大类别深度
"Use 0 for all levels","对所有级别使用 0"
"Show Products on Sitemap",在站点图上显示产品
"Show Out of Stock Products",显示缺货产品
"Sort Products and Categories By",按产品和类别排序
"Number of Columns",列数
"Group Links by First Letter",按第一个字母分组链接
"Show CMS Pages on Sitemap","在站点地图上显示 CMS 页面"
"Exclude CMS Pages","不包括 CMS 页面"
"Show Custom Links on Sitemap",在站点图上显示自定义链接
"To add custom links go Swissup > HTML Sitemap Links ","要添加自定义链接，请访问瑞士网站 + HTML 站点地图链接 "
"Are you sure you want to enable selected items?",是否确实要启用选定的项目？
"Are you sure you want to disable selected items?",是否确实要禁用所选项目？
"Link Information",链接信息
"CMS Pages","CMS 页面"
"Other Pages",其他页面
