"Generate metadata","Generate metadata"
"Don't add any conditions if template is applied to all products.","Don't add any conditions if template is applied to all products."
"Entity Id","Entity Id"
"Generated at","Generated at"
"Generation log","Generation log"
"Generate Metadata","Generate Metadata"
"Complete at %1","Complete at %1"
"%1: items processed - %2","%1: items processed - %2"
"Start at %1","Start at %1"
"You've deleted template.","You've deleted template."
"We can't find template to delete.","We can't find template to delete."
"Template with ID %1 no longer exists.","Template with ID %1 no longer exists."
"Metadata Templates","Metadata Templates"
"Edit ""%1""","Edit ""%1"""
"Create template","Create template"
"A total of %1 template(s) have been deleted.","A total of %1 template(s) have been deleted."
"A total of %1 template(s) have updated status.","A total of %1 template(s) have updated status."
"New Template","New Template"
"This template no longer exists.","This template no longer exists."
"You saved the template.","You saved the template."
"Something went wrong while saving the template.","Something went wrong while saving the template."
"Category Attribute","Category Attribute"
"Category ID","Category ID"
"All entities","All entities"
"There is generated metadata for %1.","There is generated metadata for %1."
Generated,Generated
"Value is read only","Value is read only"
"Force to use generated metadata","Force to use generated metadata"
"Start Time","Start Time"
"Records to process per job","Records to process per job"
"Metadata Template Information","Metadata Template Information"
"Generate metadata from templates","Generate metadata from templates"
"Are you sure you want to delete selected templates?","Are you sure you want to delete selected templates?"
"Template for","Template for"
"Data Type","Data Type"
