"Generate metadata","Générer des métadonnées"
"Don't add any conditions if template is applied to all products.","N’ajoutez pas de conditions si le modèle est appliqué à tous les produits."
"Entity Id","Id entité"
"Generated at","Généré à"
"Generation log","Journal de génération"
"Generate Metadata","Générer des métadonnées"
"Complete at %1","Complet à %1"
"%1: items processed - %2","%1 : articles traités - %2"
"Start at %1","Commencez à %1"
"You've deleted template.","Vous avez supprimé le modèle."
"We can't find template to delete.","Nous ne pouvons pas trouver de modèle à supprimer."
"Template with ID %1 no longer exists.","Modèle avec ID %1 n’existe plus."
"Metadata Templates","Modèles de métadonnées"
"Edit ""%1""","Modifier ""%1"""
"Create template","Créer un modèle"
"A total of %1 template(s) have been deleted.","Un modèle de %1 a été supprimé."
"A total of %1 template(s) have updated status.","Un total de %1 modèle ont mis à jour l’état."
"New Template","Nouveau modèle"
"This template no longer exists.","Ce modèle n’existe plus."
"You saved the template.","Vous avez enregistré le modèle."
"Something went wrong while saving the template.","Quelque chose s’est mal passé en sauvant le modèle."
"Category Attribute","Attribut de catégorie"
"Category ID","Id de catégorie"
"All entities","Toutes les entités"
"There is generated metadata for %1.","Il y a des métadonnées générées pour %1."
Generated,Generated
"Value is read only","La valeur est lue seulement"
"Force to use generated metadata","Force d’utiliser des métadonnées générées"
"Start Time","Heure de début"
"Records to process per job","Dossiers à traiter par emploi"
"Metadata Template Information","Informations sur les modèles de métadonnées"
"Generate metadata from templates","Générer des métadonnées à partir de modèles"
"Are you sure you want to delete selected templates?","Etes-vous sûr de vouloir supprimer des modèles sélectionnés ?"
"Template for","Modèle pour"
"Data Type","Type de données"
