"Generate metadata","Generare metadati"
"Don't add any conditions if template is applied to all products.","Non aggiungere condizioni se il modello viene applicato a tutti i prodotti."
"Entity Id","ID entità"
"Generated at","Generato a"
"Generation log","Registro di generazione"
"Generate Metadata","Genera metadati"
"Complete at %1","Completa a %1"
"%1: items processed - %2","%1: articoli elaborati - %2"
"Start at %1","Inizia da %1"
"You've deleted template.","Il modello è stato eliminato."
"We can't find template to delete.","Impossibile trovare il modello da eliminare."
"Template with ID %1 no longer exists.","Il modello con ID %1 non esiste più."
"Metadata Templates","Modelli di metadati"
"Edit ""%1""","Modifica ""%1"""
"Create template","Crea modello"
"A total of %1 template(s) have been deleted.","Un totale di %1 modello/i(i) è stato eliminato."
"A total of %1 template(s) have updated status.","Il totale dei modelli %1 ha lo stato aggiornato."
"New Template","Nuovo modello"
"This template no longer exists.","Questo modello non esiste più."
"You saved the template.","Il modello è stato salvato."
"Something went wrong while saving the template.","Si è verificato un problema durante il salvataggio del modello."
"Category Attribute","Attributo categoria"
"Category ID","ID categoria"
"All entities","Tutte le entità"
"There is generated metadata for %1.","Sono presenti metadati generati per %1."
Generated,Generato
"Value is read only","Il valore è di sola lettura"
"Force to use generated metadata","Forzare l'utilizzo dei metadati generati"
"Start Time","Ora di inizio"
"Records to process per job","Record da elaborare per processo"
"Metadata Template Information","Informazioni sul modello di metadati"
"Generate metadata from templates","Generare metadati da modelli"
"Are you sure you want to delete selected templates?","Sei sicuro di voler eliminare i modelli selezionati?"
"Template for","Modello per"
"Data Type","Tipo di dati"
