"Generate metadata","메타데이터 생성"
"Don't add any conditions if template is applied to all products.","템플릿이 모든 제품에 적용되는 경우 조건을 추가하지 마십시오."
"Entity Id","엔터티 ID"
"Generated at","에서 생성됩니다."
"Generation log","생성 로그"
"Generate Metadata","메타데이터 생성"
"Complete at %1","%1에서 완료"
"%1: items processed - %2","%1: 가공품 - %2"
"Start at %1","%1에서 시작"
"You've deleted template.","템플릿을 삭제했습니다."
"We can't find template to delete.","삭제할 템플릿을 찾을 수 없습니다."
"Template with ID %1 no longer exists.","ID %1이 있는 템플릿이 더 이상 존재하지 않습니다."
"Metadata Templates","메타데이터 템플릿"
"Edit ""%1""","""%1"" 편집"
"Create template","템플릿 만들기"
"A total of %1 template(s) have been deleted.","총 %1 템플릿이 삭제되었습니다."
"A total of %1 template(s) have updated status.","총 %1 템플릿이 업데이트되었습니다."
"New Template","새 템플릿"
"This template no longer exists.","이 템플릿은 더 이상 존재하지 않습니다."
"You saved the template.","템플릿을 저장했습니다."
"Something went wrong while saving the template.","템플릿을 저장하는 동안 문제가 되었습니다."
"Category Attribute","범주 특성"
"Category ID","카테고리 ID"
"All entities","모든 엔터티"
"There is generated metadata for %1.","%1에 대해 생성된 메타데이터가 있습니다."
Generated,생성
"Value is read only","값만 읽습니다."
"Force to use generated metadata","생성된 메타데이터를 사용하도록 강제"
"Start Time","시작 시간"
"Records to process per job","작업당 처리할 레코드"
"Metadata Template Information","메타데이터 템플릿 정보"
"Generate metadata from templates","템플릿에서 메타데이터 생성"
"Are you sure you want to delete selected templates?","선택한 템플릿을 삭제하시겠습니까?"
"Template for","에 대 한 템플릿"
"Data Type","데이터 유형"
