"Generate metadata","Generowanie metadanych"
"Don't add any conditions if template is applied to all products.","Nie dodawaj żadnych warunków, jeśli szablon jest stosowany do wszystkich produktów."
"Entity Id","Identyfikator jednostki"
"Generated at","Generowane w"
"Generation log","Dziennik generowania"
"Generate Metadata","Generowanie metadanych"
"Complete at %1","Ukończ na %1"
"%1: items processed - %2","%1: przetworzone towary - %2"
"Start at %1","Początek od %1"
"You've deleted template.","Usunięto szablon."
"We can't find template to delete.","Nie możemy znaleźć szablonu do usunięcia."
"Template with ID %1 no longer exists.","Szablon o identyfikatorze %1 już nie istnieje."
"Metadata Templates","Szablony metadanych"
"Edit ""%1""","Edycja ""%1"""
"Create template","Utwórz szablon"
"A total of %1 template(s) have been deleted.","Usunięto łącznie szablony %1."
"A total of %1 template(s) have updated status.","Stan zaktualizowano w sumie szablonów %1."
"New Template","Nowy szablon"
"This template no longer exists.","Ten szablon już nie istnieje."
"You saved the template.","Szablon został zapisany."
"Something went wrong while saving the template.","Coś poszło nie tak podczas zapisywania szablonu."
"Category Attribute","Atrybut kategoria"
"Category ID","Identyfikator kategorii"
"All entities","Wszystkie podmioty"
"There is generated metadata for %1.","Są generowane metadane dla %1."
Generated,Generowane
"Value is read only","Wartość jest tylko do odczytu"
"Force to use generated metadata","Wymuś użycie wygenerowanych metadanych"
"Start Time","Godzina rozpoczęcia"
"Records to process per job","Rekordy do przetworzenia na zadanie"
"Metadata Template Information","Informacje o szablonie metadanych"
"Generate metadata from templates","Generowanie metadanych z szablonów"
"Are you sure you want to delete selected templates?","Czy na pewno chcesz usunąć wybrane szablony?"
"Template for","Szablon dla"
"Data Type","Typ danych"
