"Generate metadata","Gerar metadados"
"Don't add any conditions if template is applied to all products.","Não adicione quaisquer condições se o modelo for aplicado a todos os produtos."
"Entity Id","Identidade da entidade"
"Generated at","Gerado em"
"Generation log","Log de geração"
"Generate Metadata","Gerar metadados"
"Complete at %1","Completo em %1"
"%1: items processed - %2","%1: itens processados - %2"
"Start at %1","Comece em %1"
"You've deleted template.","Você excluiu o modelo."
"We can't find template to delete.","Não conseguimos encontrar modelo para excluir."
"Template with ID %1 no longer exists.","Modelo com ID %1 não existe mais."
"Metadata Templates","Modelos de metadados"
"Edit ""%1""","Editar ""%1"""
"Create template","Criar modelo"
"A total of %1 template(s) have been deleted.","Um total de %1 modelos foram excluídos."
"A total of %1 template(s) have updated status.","Um total de %1 modelos(s) têm status atualizado."
"New Template","Novo modelo"
"This template no longer exists.","Este modelo não existe mais."
"You saved the template.","Você salvou o modelo."
"Something went wrong while saving the template.","Algo deu errado ao salvar o modelo."
"Category Attribute","Atributo da categoria"
"Category ID","ID da categoria"
"All entities","Todas as entidades"
"There is generated metadata for %1.","Há metadados gerados para %1."
Generated,Gerado
"Value is read only","O valor é somente lido"
"Force to use generated metadata","Força para usar metadados gerados"
"Start Time","Horário de início"
"Records to process per job","Registros para processar por trabalho"
"Metadata Template Information","Informações sobre o modelo de metadados"
"Generate metadata from templates","Gerar metadados a partir de modelos"
"Are you sure you want to delete selected templates?","Tem certeza de que deseja excluir modelos selecionados?"
"Template for","Modelo para"
"Data Type","Tipo de dados"
