"Generate metadata","Створення метаданих"
"Don't add any conditions if template is applied to all products.","Не додавайте жодних умов, якщо шаблон застосовано до всіх продуктів."
"Entity Id","Ідентифікатор сутності"
"Generated at","Згенеровано за"
"Generation log","Журнал генерації"
"Generate Metadata","Створення метаданих"
"Complete at %1","Завершено на %1"
"%1: items processed - %2","%1: Оброблено елементів-%2"
"Start at %1","Почати з %1"
"You've deleted template.","Ви видалили шаблон."
"We can't find template to delete.","Ми не можемо знайти шаблон для видалення."
"Template with ID %1 no longer exists.","Шаблон із ІДЕНТИФІКАТОРОМ %1 більше не існує."
"Metadata Templates","Шаблони метаданих"
"Edit ""%1""","Редагувати ""%1"""
"Create template","Створити шаблон"
"A total of %1 template(s) have been deleted.","Загалом було видалено %1 шаблонів."
"A total of %1 template(s) have updated status.","У загальній складності %1 шаблонів мають оновлений статус."
"New Template","Новий шаблон"
"This template no longer exists.","Цей шаблон більше не існує."
"You saved the template.","Ви зберегли шаблон."
"Something went wrong while saving the template.","Після збереження шаблона щось пішло не так."
"Category Attribute","Атрибут категорії"
"Category ID","ІДЕНТИФІКАТОР категорії"
"All entities","Всіх сутностей"
"There is generated metadata for %1.","Існує згенеровані метадані для %1."
Generated,Створюється
"Value is read only","Значення лише для читання"
"Force to use generated metadata","Примусове використання створених метаданих"
"Start Time","Час початку"
"Records to process per job","Записи для обробки за роботою"
"Metadata Template Information","Відомості про шаблон метаданих"
"Generate metadata from templates","Створення метаданих з шаблонів"
"Are you sure you want to delete selected templates?","Ви дійсно бажаєте видалити вибрані шаблони?"
"Template for","Шаблон для"
"Data Type","Тип даних"
