"Record was deleted.","Запис видалено."
"Can't find a record to delete.","Не вдалося знайти запис для видалення."
SoldTogether,SoldTogether
"Customers Who Bought This Item Also Bought","Клієнти, які купили цей товар, також купили"
"Please correct the data sent.","Будь ласка, виправте дані, надіслані."
"Something went wrong while saving the page.","Під час збереження сторінки щось пішло не так."
"We couldn't find any customers","Ми не змогли знайти будь-яких клієнтів"
"All Customer Orders have been indexed.","Всі замовлення клієнтів були проіндексовані."
"Frequently Bought Together","Часто купували разом"
"We couldn't find any orders","Ми не змогли знайти замовлення"
"All Orders have been indexed.","Всі замовлення були проіндексовані."
"This Item","Цей елемент"
"Add All to Cart","Додати все в кошик"
Enabled,Включений
"Count Products to Display","Кількість продуктів для відображення"
"Index Customer Orders","Індекс замовлення клієнта"
"Related Product Name","Ім'я пов'язаного продукту"
"Is Admin","Створено адміністратором"
"Index Orders","Індексувати замовлення"
"Customers who bought this product also commonly purchased the following combination of items","Клієнти, які купили цей продукт, також зазвичай придбали таку комбінацію елементів"
"Customers Who Bought This Item(s) Also Bought","Клієнти, які купили товар (и), також купили"
"Email Blocks Settings","Налаштування блоків електронної пошти"
"Frequently Bought Together Count Products to Display","Часто купували разом - кількість продуктів для відображення"
"Customer Bought Together Count Products to Display","Клієнт купив разом - кількість продуктів для відображення"
"List random products for empty collections","Список випадкових продуктів для порожніх колекцій"
"Show Out Of Stock Products","Показати на складі продукти"
